origin_topic_q5,origin_topic_q4,origin_topic_q1,origin_topic_q3,origin_topic_q2,intruder_task_index_q5,word2_q4,word1_q4,word2_q2,word1_q2,word1_q1,word2_q1,intruder_topic_q2,intruder_topic_q3,intruder_topic_q1,word3_q3,intruder_topic_q4,intruder_topic_q5,word0_q4,word4_q3,word0_q5,word3_q5,word4_q5,intruder_source_index_q2,intruder_source_index_q3,intruder_source_index_q1,intruder_source_index_q4,intruder_source_index_q5,word5_q3,word5_q2,word5_q1,word0_q1,word0_q2,word0_q3,word2_q5,word5_q5,intruder_task_index_q4,word1_q3,word5_q4,intruder_task_index_q1,intruder_task_index_q2,intruder_task_index_q3,intruder_token_q4,intruder_token_q5,intruder_token_q1,intruder_token_q2,intruder_token_q3,word2_q3,word1_q5,word3_q1,word4_q1,word4_q2,word3_q2,word4_q4,word3_q4
28,24,18,10,16,5,lou,irs,thanksgiving,flu,aarp,jenna,7,24,12,flooding,10,9,healthcare,island,ryan,compromise,fiscal,9,7,1,18,1,flood,shopping,israel,jon,christmas,tornado,ceiling,nbc,3,hurricane,obamacare,5,3,2,katrina,nbc,israel,drilling,wage,wage,boehner,supplement,martha,holiday,drilling,neil,katrina
5,9,14,11,16,1,nbc,calories,flu,shopping,verdict,nuclear,14,28,2,amendment,24,24,delicious,gentleman,enbrel,wolf,cymbalta,9,18,10,0,19,tempore,thanksgiving,korea,pakistan,qaeda,chair,cnn,anderson,4,yield,wedding,1,0,2,obamacare,exchanges,verdict,qaeda,limit,limit,exchanges,taliban,libya,holiday,christmas,obamacare,fiber
19,6,4,28,20,3,teachers,boston,veterans,cnn,character,tavis,5,18,9,supplement,5,17,guest,ryan,tha,boston,tte,0,2,16,7,9,boehner,guns,kennedy,lincoln,background,compromise,thh,thi,1,fiscal,caller,4,1,3,boston,boston,royal,cnn,supplement,ceiling,melissa,film,royal,mental,pope,climate,chinese
20,9,13,0,13,3,calories,delicious,voter,palin,voting,palin,3,29,14,ship,28,7,fiber,custody,mental,medicines,pope,8,18,6,4,7,haiti,voting,sarah,voter,sarah,passengers,guns,background,4,abc,wedding,4,3,4,compromise,medicines,japan,una,custody,earthquake,veterans,liberal,japan,liberal,una,compromise,nbc
0,0,19,9,27,0,passengers,holidays,marriage,fog,tte,tha,22,1,15,fiber,16,2,earthquake,calories,edwards,abc,earthquake,0,8,14,6,12,nbc,santa,melissa,thi,ktvu,wedding,ship,haiti,1,delicious,ship,4,2,2,holidays,edwards,regulation,marriage,loop,loop,passengers,thh,regulation,jose,oakland,abc,haiti
20,20,28,23,20,2,veterans,mental,coffee,guns,courtroom,fiscal,9,13,2,african,13,4,pope,celebrex,veterans,pope,guns,12,17,14,2,17,bleeding,background,boehner,compromise,pope,chantix,actor,background,5,cialis,sarah,1,2,3,sarah,actor,courtroom,coffee,african,arthritis,mental,ryan,ceiling,veterans,mental,background,guns
19,7,16,14,14,0,spill,gulf,korea,pakistan,thanksgiving,flu,15,29,17,nuclear,22,2,copd,taliban,witness,thi,tte,3,10,1,7,17,korea,nuclear,nbc,christmas,testimony,girls,melissa,tha,5,libya,newshour,5,0,0,newshour,witness,nbc,testimony,girls,pakistan,thh,holiday,shopping,taliban,libya,cbs,advair
28,26,13,25,24,5,investors,trading,regime,obamacare,voting,palin,12,11,19,santorum,14,3,earnings,newt,ryan,ceiling,compromise,4,0,11,9,9,gentleman,neil,hav,liberal,lou,iowa,fiscal,por,4,gingrich,stocks,5,2,5,qaeda,por,hav,regime,gentleman,rick,boehner,sarah,voter,irs,healthcare,qaeda,fed
27,28,4,7,28,0,ryan,casey,ceiling,ryan,abo,tavis,24,27,19,gulf,2,20,compromise,advair,gunman,ktvu,oakland,2,0,17,9,10,copd,compromise,kennedy,character,boehner,cbs,santa,jose,1,spill,ceiling,1,3,2,casey,gunman,abo,irs,oakland,oakland,fog,film,lincoln,fiscal,irs,boehner,fiscal
19,14,2,28,20,5,taliban,boston,debates,veterans,zimmerman,martin,25,0,0,ryan,5,15,nuclear,occur,tha,melissa,thi,18,16,12,7,13,fiscal,mental,laden,jury,background,boehner,tte,ensure,1,ceiling,libya,3,2,4,boston,ensure,port,debates,occur,compromise,thh,port,bin,pope,guns,korea,pakistan
0,2,24,13,13,2,bin,jury,voter,liberal,irs,lou,22,17,29,palin,13,17,laden,voting,ship,earthquake,haiti,7,6,10,4,4,voter,newshour,obamacare,girls,voting,liberal,score,abc,4,sarah,martin,0,5,2,voter,score,girls,newshour,hits,hits,passengers,neil,healthcare,palin,sarah,voter,zimmerman
20,15,15,11,7,5,testimony,commission,gulf,putin,commission,supreme,12,23,20,reactions,18,18,supreme,tempore,mental,background,pope,15,11,17,6,7,chair,copd,theater,authority,cbs,amendment,guns,guide,4,gentleman,authority,5,1,3,identity,guide,theater,putin,reactions,yield,veterans,agencies,testimony,spill,advair,identity,agencies
14,27,14,3,13,3,fog,ktvu,voting,accepts,korea,pakistan,18,15,19,kitchen,20,0,jose,color,nuclear,cruise,taliban,17,15,13,10,15,gonna,voter,tre,nuclear,palin,management,pakistan,libya,5,las,gunman,5,1,0,gunman,cruise,tre,accepts,management,que,korea,libya,taliban,liberal,sarah,santa,oakland
3,16,23,20,25,3,christmas,holiday,santorum,iowa,operations,chantix,15,22,14,catholic,23,22,shopping,background,las,pbs,que,5,6,18,7,8,pope,gingrich,cialis,bleeding,rick,guns,color,gonna,5,veterans,christie,1,3,3,christie,pbs,operations,review,catholic,mental,kitchen,celebrex,arthritis,newt,review,flu,thanksgiving
8,9,5,18,18,2,nbc,wedding,jon,chicken,cymbalta,wolf,9,17,0,jon,13,4,delicious,aarp,olympic,bowl,tiger,5,13,8,13,8,jenna,jenna,cnn,anderson,martha,supplement,song,nfl,5,martha,hardball,3,1,2,hardball,song,airlines,chicken,yankees,yankees,olympics,airlines,enbrel,supplement,aarp,fiber,calories
14,7,7,26,13,4,gulf,copd,sarah,voter,copd,spill,21,9,25,sweet,10,5,cbs,stocks,pakistan,nuclear,erin,0,7,0,11,12,earnings,voting,advair,gingrich,palin,fed,korea,taliban,4,investors,advair,0,4,3,northeast,erin,gingrich,immigration,sweet,trading,libya,cbs,gulf,immigration,liberal,northeast,spill
25,8,7,15,0,3,olympics,tiger,haiti,passengers,spill,copd,23,10,16,testimony,10,5,olympic,storms,iowa,carol,gingrich,5,7,11,7,8,agencies,earthquake,cbs,advair,abc,commission,santorum,newt,3,authority,nfl,4,3,4,storms,carol,tree,stomach,storms,supreme,rick,gulf,tree,ship,stomach,bowl,storms
23,16,29,29,1,4,endorsed,shopping,cloudy,endorsed,sexual,sandusky,18,2,3,witness,18,10,holiday,sexual,cialis,celebrex,tornado,15,17,14,15,3,sandusky,avenue,abuse,jackson,metro,allegations,chantix,bleeding,2,abuse,flu,4,1,3,endorsed,tornado,del,endorsed,witness,jackson,arthritis,allegations,del,baltimore,beltway,thanksgiving,christmas
9,18,9,14,13,3,jenna,martha,voter,voting,calories,wedding,22,3,12,pakistan,19,23,jon,que,delicious,prescription,wedding,2,1,17,13,13,nuclear,sarah,nbc,fiber,liberal,korea,calories,fiber,4,taliban,aarp,4,4,4,tre,prescription,protests,religious,que,libya,nbc,delicious,protests,religious,palin,tre,supplement
9,13,6,2,12,5,voter,liberal,regime,insured,teachers,guest,18,24,29,taxpayers,20,4,sarah,bin,fiber,nbc,delicious,18,12,2,2,18,martin,israel,abuse,climate,egypt,jury,wedding,funny,4,laden,palin,5,1,3,pope,funny,abuse,insured,taxpayers,zimmerman,calories,chinese,caller,russia,syria,pope,voting
10,10,28,17,21,2,hurricane,headache,fbi,terrorist,ceiling,boehner,29,28,1,nbc,23,17,island,giants,tornado,flood,flooding,10,7,16,16,16,league,qaeda,compromise,ryan,immigration,baseball,player,hurricane,1,stimulus,flooding,3,4,1,headache,player,humidity,girls,stimulus,score,island,humidity,fiscal,girls,border,flood,tornado
8,19,12,17,6,3,melissa,tha,caller,climate,egypt,syria,16,8,21,baseball,23,5,stroke,league,nfl,enbrel,tiger,9,9,11,15,4,giants,teachers,russia,regime,guest,score,olympics,olympic,0,nbc,thi,3,4,2,stroke,enbrel,cia,gift,athletes,athletes,bowl,cia,israel,gift,chinese,thh,tte
29,25,23,20,25,2,rick,santorum,newt,rick,cialis,arthritis,22,12,4,chemical,16,12,gingrich,background,sexual,abuse,jackson,6,10,7,17,1,guns,gingrich,bleeding,celebrex,iowa,mental,israel,sandusky,5,veterans,turkey,3,4,3,turkey,israel,movies,catholic,chemical,pope,allegations,movies,chantix,catholic,santorum,iowa,newt
27,7,4,7,16,5,spill,cbs,christmas,shopping,film,lincoln,17,8,3,advair,5,11,christine,copd,jose,ktvu,santa,4,1,5,13,1,cbs,score,hoveround,character,flu,tiger,fog,amendment,0,gulf,advair,5,5,0,christine,amendment,hoveround,score,tiger,spill,oakland,kennedy,tavis,holiday,thanksgiving,gulf,copd
15,21,27,11,27,2,qaeda,reid,ktvu,santa,animal,jose,12,18,17,amendment,28,14,immigration,tempore,supreme,agencies,testimony,6,1,19,12,11,yield,opposition,fog,ktvu,jose,martha,soldiers,authority,1,gentleman,border,1,5,0,reid,soldiers,animal,opposition,martha,chair,commission,oakland,santa,fog,oakland,terrorist,fbi
20,25,2,26,11,3,iowa,newt,yield,sanctions,jury,bin,12,1,19,earnings,27,2,gingrich,stocks,guns,testimony,pope,18,16,5,14,15,investors,tempore,dot,laden,amendment,fed,veterans,background,5,trading,channel,5,1,2,channel,testimony,dot,sanctions,humidity,humidity,mental,martin,zimmerman,chair,gentleman,rick,santorum
14,28,12,1,14,4,boehner,fiscal,korea,nuclear,russia,israel,3,10,22,baltimore,7,18,ceiling,beltway,libya,pakistan,nasa,4,13,4,5,8,metro,las,regime,supreme,pakistan,avenue,korea,taliban,5,roads,tdd,0,5,1,tdd,nasa,supreme,las,roads,cloudy,nuclear,egypt,syria,taliban,libya,compromise,ryan
12,4,13,29,8,1,lincoln,prosecutor,tiger,olympic,sunny,voting,7,11,27,madam,2,28,character,sandusky,regime,russia,egypt,11,12,10,18,5,allegations,bowl,voter,sarah,olympics,jackson,syria,israel,1,abuse,kennedy,1,4,3,prosecutor,cliff,sunny,spiriva,madam,sexual,cliff,palin,liberal,spiriva,nfl,film,tavis
28,2,3,3,10,2,zimmerman,martin,island,immigrants,amendment,que,21,18,11,color,28,18,balanced,las,compromise,boehner,fiscal,17,19,1,15,19,gonna,tornado,gonna,kitchen,flooding,kitchen,bret,ryan,0,bret,jury,1,1,1,balanced,bret,amendment,immigrants,bret,que,ceiling,las,color,flood,hurricane,bin,laden
3,13,12,20,26,4,liberal,healthcare,earnings,investors,israel,russia,12,5,27,mental,24,29,voter,pope,las,kitchen,sexual,6,5,15,3,1,infections,trading,syria,regime,fed,guns,gonna,que,1,veterans,palin,3,3,5,healthcare,sexual,bart,opposition,infections,background,color,bart,egypt,stocks,opposition,sarah,voting
6,13,7,22,6,3,liberal,voter,caller,guest,british,spill,2,28,4,gay,3,16,voting,revenue,chinese,holiday,climate,0,6,14,6,1,supreme,chinese,advair,cbs,jury,religion,teachers,caller,3,religious,sarah,1,0,4,para,holiday,british,jury,revenue,marriage,guest,gulf,copd,climate,teachers,palin,para
13,11,0,16,22,4,chair,gentleman,marriage,supreme,passengers,ship,7,19,19,flu,14,10,nuclear,tte,palin,voting,sandy,19,3,18,0,5,christmas,religion,abc,earthquake,religious,shopping,voter,liberal,0,holiday,yield,4,3,4,nuclear,sandy,abt,heartburn,tte,thanksgiving,sarah,haiti,abt,gay,heartburn,tempore,amendment
14,22,11,28,13,4,supreme,marriage,liberal,syria,immigration,gentleman,12,6,6,boehner,9,7,religious,century,nuclear,taliban,breathing,0,7,12,19,13,ryan,sarah,chair,amendment,voting,fiscal,pakistan,korea,4,ceiling,gay,1,1,4,dress,breathing,immigration,syria,century,compromise,libya,yield,tempore,palin,voter,dress,religion
29,6,15,28,23,5,guest,caller,cialis,chantix,authority,agencies,22,24,0,ceiling,14,18,bin,fiscal,jackson,sandusky,abuse,10,7,4,17,3,wage,arthritis,commission,testimony,bleeding,boehner,allegations,aarp,0,compromise,climate,4,4,5,bin,aarp,earthquake,christian,wage,ryan,sexual,supreme,earthquake,christian,celebrex,chinese,teachers
14,0,0,3,27,0,earthquake,iowa,hotel,fog,passengers,earthquake,5,9,5,kitchen,25,7,haiti,fruit,gulf,korea,libya,10,17,13,3,0,las,ktvu,christine,ship,jose,que,pakistan,nuclear,1,color,ship,5,2,4,iowa,gulf,christine,hotel,fruit,gonna,taliban,abc,haiti,oakland,santa,passengers,abc
4,24,18,9,19,5,irs,african,melissa,thh,martha,aarp,15,4,6,fiber,13,25,lou,roosevelt,lincoln,kennedy,character,17,15,18,17,5,delicious,tte,jenna,supplement,mortgage,wedding,tavis,perry,1,nbc,neil,4,0,4,african,perry,skills,mortgage,roosevelt,calories,film,jon,skills,tha,thi,healthcare,obamacare
14,10,29,26,29,0,hurricane,facts,abuse,prosecutors,allegations,sexual,2,18,4,investors,13,6,flood,shuttle,chinese,korea,nuclear,19,9,11,18,4,fed,allegations,sandusky,abuse,sandusky,trading,libya,taliban,1,stocks,flooding,3,1,4,facts,chinese,culture,prosecutors,shuttle,earnings,pakistan,culture,jackson,jackson,sexual,island,tornado
2,25,3,25,13,4,gingrich,iowa,voter,liberal,fios,las,7,8,1,gingrich,5,12,blitzer,nfl,zimmerman,jury,european,18,4,14,15,11,newt,sarah,que,kitchen,palin,rick,martin,bin,0,iowa,newt,1,3,4,blitzer,european,fios,prescription,nfl,santorum,laden,gonna,color,voting,prescription,santorum,rick
8,21,15,23,26,0,fbi,terrorist,stains,earnings,supreme,commission,3,6,14,celebrex,18,23,border,chantix,prostate,olympics,bowl,19,6,10,7,10,cialis,trading,ambassador,agencies,investors,bleeding,nfl,olympic,4,opportunities,immigration,5,2,1,guide,prostate,ambassador,stains,opportunities,arthritis,tiger,testimony,authority,stocks,fed,guide,qaeda
16,5,22,17,25,5,cymbalta,cnn,gingrich,santorum,religious,supreme,12,22,8,giants,7,9,advair,baseball,flu,shopping,thanksgiving,0,16,4,2,1,league,syria,religion,marriage,newt,nbc,holiday,nbc,0,score,anderson,4,5,2,advair,nbc,nfl,syria,christians,christians,christmas,gay,nfl,rick,iowa,enbrel,wolf
0,5,10,5,12,1,enbrel,function,russia,regime,hurricane,tornado,2,23,24,wolf,7,20,cnn,cnn,passengers,haiti,earthquake,2,6,15,15,9,enbrel,egypt,flood,flooding,israel,allergic,abc,ship,1,cymbalta,cymbalta,4,3,0,function,colorado,detroit,martin,allergic,anderson,colorado,island,detroit,syria,martin,wolf,anderson
14,18,16,25,28,0,jon,supplement,boehner,compromise,holiday,flu,4,17,22,newt,14,3,martha,gingrich,kitchen,korea,libya,6,3,13,15,2,giants,audience,thanksgiving,shopping,fiscal,rick,taliban,pakistan,3,santorum,aarp,3,5,5,missile,kitchen,nsa,audience,giants,iowa,nuclear,nsa,christmas,ceiling,ryan,jenna,missile
11,9,1,25,1,5,nbc,que,metro,cloudy,metro,cloudy,29,11,10,rick,3,9,delicious,santorum,gentleman,amendment,yield,15,16,19,1,6,gingrich,beltway,avenue,beltway,arrest,urge,chair,honey,1,iowa,wedding,4,0,0,que,honey,mississippi,arrest,urge,newt,tempore,baltimore,mississippi,avenue,baltimore,calories,fiber
28,29,0,12,4,5,jackson,allegations,lincoln,taxpayers,earthquake,passengers,24,7,12,russia,3,9,sandusky,israel,boehner,ceiling,ryan,12,6,18,4,14,egypt,kennedy,abc,ship,film,symbicort,compromise,matt,3,regime,abuse,3,1,0,las,matt,sanctions,taxpayers,symbicort,syria,fiscal,sanctions,haiti,tavis,character,sexual,las
4,20,3,17,1,0,guns,pope,murray,baltimore,pitch,que,29,10,17,league,25,3,veterans,score,del,character,kennedy,8,0,10,16,14,hurricane,cloudy,color,las,beltway,baseball,lincoln,tavis,5,nbc,delegates,1,2,5,delegates,del,pitch,murray,hurricane,giants,film,gonna,kitchen,avenue,metro,background,mental
12,1,7,16,0,2,avenue,cloudy,haiti,abc,prosecutor,cbs,29,7,2,flu,7,22,beltway,christmas,regime,egypt,syria,17,1,18,18,5,cbs,allegedly,copd,gulf,passengers,holiday,faith,israel,4,thanksgiving,baltimore,1,5,5,prescription,faith,prosecutor,allegedly,cbs,shopping,russia,advair,spill,earthquake,ship,prescription,metro
17,14,24,19,10,2,pakistan,korea,tornado,island,irs,snowden,8,23,22,tha,5,5,brooke,aleve,giants,nbc,league,5,18,11,18,6,melissa,coach,healthcare,lou,flood,thh,newsroom,baseball,0,tte,nuclear,2,5,4,brooke,newsroom,snowden,coach,aleve,thi,score,obamacare,neil,flooding,hurricane,taliban,libya
3,0,24,21,15,2,earthquake,abc,authority,supreme,neil,lou,6,5,15,fbi,12,12,putin,terrorist,gonna,que,color,19,15,12,15,7,qaeda,testimony,irs,obamacare,teacher,blitzer,assad,las,0,immigration,haiti,3,0,0,putin,assad,appropriate,teacher,blitzer,border,kitchen,appropriate,healthcare,commission,agencies,passengers,ship
11,4,15,18,9,1,lincoln,kennedy,wedding,soldiers,authority,supreme,14,17,22,jon,9,19,character,aarp,chair,amendment,yield,11,8,2,6,0,supplement,delicious,agencies,religious,nbc,animals,gentleman,tempore,3,martha,tavis,0,1,0,honey,melissa,religious,soldiers,animals,jenna,melissa,commission,testimony,fiber,calories,film,honey
17,28,28,10,9,4,earthquake,fiscal,rosa,fiber,org,ryan,27,15,22,authority,0,20,ryan,hurricane,giants,nbc,theater,9,1,17,4,17,flooding,delicious,ceiling,fiscal,calories,island,score,league,2,flood,boehner,1,2,3,earthquake,theater,org,rosa,authority,tornado,baseball,boehner,compromise,wedding,nbc,ceiling,compromise
4,24,24,1,16,2,irs,obamacare,christmas,thanksgiving,healthcare,syria,19,0,12,cloudy,14,10,lou,beltway,film,tavis,kennedy,6,8,0,8,4,avenue,holiday,obamacare,lou,flu,baltimore,island,character,5,airlines,nato,2,3,1,nato,island,syria,ing,airlines,metro,lincoln,irs,neil,shopping,ing,neil,healthcare
18,0,7,2,23,0,abc,european,cialis,chantix,advair,conservatives,19,22,13,muslim,12,26,earthquake,zimmerman,reserve,martha,aarp,2,14,11,11,19,martin,arthritis,spill,cbs,bleeding,bin,supplement,jon,1,laden,ship,2,3,3,european,reserve,conservatives,thh,muslim,jury,jenna,gulf,copd,celebrex,thh,haiti,passengers
12,12,12,23,3,5,egypt,russia,gonna,que,russia,pope,21,19,20,bleeding,2,1,syria,chantix,russia,egypt,regime,12,9,2,19,12,celebrex,bomb,syria,israel,kitchen,hat,israel,wjz,4,cialis,israel,2,5,0,prosecutors,wjz,pope,bomb,hat,arthritis,syria,regime,egypt,las,color,prosecutors,regime
0,0,8,2,6,5,abc,ship,testimony,guest,nfl,tiger,2,29,21,zimmerman,17,8,haiti,bin,ship,earthquake,haiti,15,12,16,11,12,penn,teachers,bowl,olympic,climate,laden,passengers,basketball,4,jury,earthquake,4,2,5,brian,basketball,agents,testimony,penn,martin,abc,olympics,agents,chinese,caller,brian,passengers
20,15,18,1,27,0,agencies,supreme,oakland,martha,martha,jenna,18,13,27,avenue,16,1,commission,sean,avenue,veterans,pope,1,14,6,9,4,metro,fog,inland,supplement,ktvu,beltway,mental,guns,4,baltimore,authority,5,1,4,gift,avenue,inland,martha,sean,cloudy,background,aarp,jon,jose,santa,gift,testimony
20,6,20,0,7,3,caller,teachers,advair,gulf,guns,background,8,23,3,abc,21,29,climate,ship,background,abuse,pope,18,6,8,4,2,haiti,cbs,una,veterans,copd,earthquake,mental,veterans,3,passengers,guest,5,4,2,terrorist,abuse,una,stadium,allergic,allergic,guns,mental,pope,stadium,spill,chinese,terrorist
20,17,14,4,20,1,score,giants,sanjay,background,taliban,holiday,5,6,16,institute,24,16,baseball,lincoln,mental,pope,veterans,19,17,1,10,19,kennedy,veterans,libya,nuclear,guns,character,guns,background,4,film,nbc,2,2,3,minimum,toys,holiday,sanjay,institute,tavis,toys,korea,pakistan,pope,mental,minimum,league
26,25,6,23,7,1,newt,iowa,gulf,cbs,objection,guest,19,4,11,cialis,24,27,rick,bleeding,fed,earnings,stocks,12,11,8,12,12,chantix,ann,climate,teachers,copd,celebrex,trading,investors,5,arthritis,taxpayers,1,5,2,taxpayers,commute,objection,ann,culture,culture,commute,chinese,caller,advair,spill,gingrich,santorum
29,28,21,10,8,1,compromise,ryan,olympic,olympics,recession,immigration,15,13,28,facts,5,23,wolf,hurricane,jackson,allegations,sandusky,3,18,13,1,19,island,testimony,border,fbi,bowl,flooding,abuse,sexual,0,tornado,fiscal,1,5,3,wolf,motion,recession,testimony,facts,flood,motion,qaeda,terrorist,tiger,nfl,ceiling,boehner
18,3,15,6,21,4,que,las,qaeda,terrorist,commission,agencies,23,2,2,guest,0,13,pilots,climate,aarp,jenna,hillary,12,5,5,10,8,trayvon,border,supreme,trayvon,immigration,teachers,martha,supplement,0,chinese,color,0,3,5,pilots,hillary,trayvon,breathing,trayvon,caller,jon,authority,testimony,fbi,breathing,kitchen,gonna
11,23,21,13,4,2,bleeding,chantix,kennedy,tavis,immigration,fbi,28,12,28,liberal,29,7,arthritis,palin,yield,amendment,chair,19,13,14,17,7,sarah,harry,qaeda,proposal,lincoln,voter,medicines,tempore,5,voting,allegedly,0,5,2,allegedly,medicines,proposal,harry,israeli,israeli,gentleman,terrorist,border,character,film,celebrex,cialis
18,24,9,15,0,0,neil,healthcare,passengers,haiti,fiber,jesus,10,16,22,supreme,28,26,obamacare,agencies,fed,jenna,supplement,3,6,9,0,2,holidays,earthquake,delicious,nbc,abc,commission,jon,martha,3,testimony,lou,2,3,5,boehner,fed,jesus,tornado,holidays,authority,aarp,calories,wedding,ship,tornado,irs,boehner
17,23,16,26,13,4,celebrex,bleeding,sarah,voting,flu,thanksgiving,6,2,14,earnings,3,21,chantix,stocks,baseball,league,qaeda,4,3,17,11,3,bin,chinese,bin,holiday,voter,investors,nbc,score,3,fed,cialis,5,5,5,bathroom,qaeda,bin,chinese,bin,trading,giants,christmas,shopping,palin,liberal,arthritis,bathroom
5,11,16,8,22,5,shooter,gentleman,marriage,gay,flu,thanksgiving,21,19,1,nfl,20,14,amendment,olympics,wolf,cnn,anderson,14,13,0,11,13,tre,yemen,holiday,christmas,religion,bowl,enbrel,libyan,2,olympic,chair,3,5,5,shooter,libyan,baltimore,yemen,tre,tiger,cymbalta,baltimore,shopping,supreme,religious,tempore,yield
27,18,5,9,27,3,london,supplement,abortion,ktvu,anderson,jackson,13,14,29,wedding,8,3,martha,qaeda,ktvu,del,jose,5,9,0,14,14,delicious,santa,cnn,wolf,fog,fiber,santa,fog,2,nbc,jenna,2,2,4,london,del,jackson,abortion,qaeda,calories,oakland,cymbalta,enbrel,oakland,jose,aarp,jon
27,14,24,8,2,1,pakistan,nuclear,african,zimmerman,obamacare,neil,6,22,15,nfl,22,14,taliban,olympic,oakland,ktvu,fog,8,14,17,19,19,bowl,martin,lou,healthcare,jury,olympics,jose,santa,4,tiger,korea,4,2,2,married,laden,mortgage,african,muslim,muslim,laden,irs,mortgage,laden,bin,married,libya
24,13,13,5,2,4,palin,voting,revenue,zimmerman,bombing,liberal,28,12,21,syria,22,9,sarah,cnn,neil,irs,calories,6,0,18,5,2,anderson,jury,voting,voter,bin,enbrel,obamacare,healthcare,5,cymbalta,faith,1,2,3,faith,calories,bombing,revenue,syria,wolf,lou,sarah,palin,laden,martin,voter,liberal
13,21,6,25,22,3,border,terrorist,religion,culture,debates,climate,6,17,25,newt,23,4,fbi,rick,sarah,actor,palin,16,5,18,18,17,iowa,marriage,guest,teachers,religious,santorum,voting,voter,4,gingrich,qaeda,1,1,2,aleve,actor,debates,culture,inning,inning,liberal,chinese,caller,supreme,gay,aleve,immigration
23,12,10,13,28,3,syria,regime,ceiling,ryan,tornado,island,24,1,19,sarah,8,13,russia,palin,chantix,mccain,cialis,19,0,8,6,7,voting,fiscal,hurricane,thee,boehner,liberal,arthritis,celebrex,5,voter,golf,0,3,2,golf,mccain,thee,exchanges,baltimore,baltimore,bleeding,flood,flooding,compromise,exchanges,egypt,israel
2,12,1,25,8,1,roosevelt,israel,olympic,nfl,brain,avenue,19,8,2,medal,4,28,egypt,santorum,jury,laden,martin,1,13,6,15,5,rick,bowl,baltimore,metro,tiger,gingrich,zimmerman,bin,2,iowa,syria,1,4,3,roosevelt,cliff,brain,tha,medal,newt,cliff,beltway,cloudy,tha,olympics,regime,russia
19,16,29,29,10,5,shopping,holiday,hurricane,flood,score,jackson,28,13,17,sexual,18,16,christmas,abuse,thh,tha,tte,6,5,4,16,8,sandusky,island,allegations,sandusky,revenue,jackson,melissa,vaccine,4,allegations,flu,1,0,2,theft,vaccine,score,revenue,abortion,abortion,thi,sexual,abuse,tornado,flooding,theft,thanksgiving
6,6,7,22,15,2,guest,climate,girls,testimony,gulf,radar,29,6,1,marriage,17,15,baseball,gay,chinese,teachers,guest,10,12,17,0,7,religion,supreme,copd,cbs,agencies,immigration,oversight,caller,0,religious,caller,2,2,0,baseball,oversight,radar,girls,immigration,supreme,climate,spill,advair,commission,authority,chinese,teachers
18,6,17,18,0,4,teachers,caller,earthquake,abc,giants,league,10,23,16,humira,29,28,climate,aarp,supplement,martha,harry,13,17,7,3,19,martha,roads,stores,baseball,passengers,supplement,jon,jenna,3,jenna,guest,5,5,3,sandusky,harry,stores,roads,humira,jon,aarp,nbc,score,ship,haiti,chinese,sandusky
14,27,27,20,24,5,ktvu,fog,irs,oakland,river,ktvu,27,18,10,mental,12,27,egypt,background,korea,pakistan,taliban,0,12,6,2,16,guns,obamacare,fog,santa,neil,veterans,nuclear,firefighters,0,pope,jose,1,1,2,egypt,firefighters,river,oakland,murdoch,murdoch,libya,oakland,jose,healthcare,lou,oakland,santa
27,26,26,7,13,0,christmas,investors,sarah,voting,baseball,earnings,14,15,17,advair,16,23,earnings,ensure,christie,jose,oakland,18,13,0,0,7,gulf,palin,trading,stocks,operations,cbs,ktvu,fog,2,spill,stocks,1,0,4,christmas,christie,baseball,operations,ensure,copd,santa,fed,investors,liberal,voter,trading,fed
19,4,26,10,21,5,tavis,character,qaeda,immigration,trading,fed,5,27,10,tornado,5,12,mutual,hurricane,tte,thh,melissa,7,4,7,11,12,flood,terrorist,investors,stocks,boston,island,thi,ukraine,0,ktvu,film,4,0,1,mutual,ukraine,storms,boston,ktvu,flooding,tha,earnings,storms,fbi,border,lincoln,kennedy
7,3,2,24,26,2,gonna,kitchen,stocks,investors,vaccine,laden,12,15,16,lou,20,6,las,obamacare,gulf,spill,copd,7,15,8,3,4,neil,assad,bin,martin,earnings,irs,chinese,advair,5,healthcare,mental,1,5,2,mental,chinese,vaccine,assad,management,management,cbs,jury,zimmerman,fed,trading,que,color
18,25,17,23,2,5,santorum,rose,zimmerman,jury,nbc,giants,20,19,26,chantix,4,13,newt,bleeding,jon,aarp,martha,11,19,8,16,18,arthritis,martin,shares,score,bin,wee,supplement,facts,1,celebrex,gingrich,5,4,0,rose,facts,shares,shooter,wee,cialis,jenna,league,baseball,shooter,laden,iowa,rick
18,26,25,26,16,5,investors,earnings,holiday,christmas,iowa,gingrich,23,6,9,earnings,19,19,trading,trading,supplement,aarp,jon,16,2,12,1,2,stocks,headache,newt,coffee,thanksgiving,teachers,jenna,thh,5,investors,tha,0,5,0,tha,thh,coffee,headache,teachers,fed,martha,santorum,rick,flu,shopping,stocks,fed
18,0,3,12,4,4,passengers,haiti,kennedy,character,nato,color,10,18,14,syria,2,2,abc,regime,aarp,jenna,trayvon,15,5,8,11,5,egypt,tavis,las,que,lincoln,lifelock,supplement,martha,4,israel,ship,1,3,0,guilty,trayvon,nato,trees,lifelock,russia,jon,gonna,kitchen,film,trees,guilty,earthquake
